       Date       Ip    Average flows 
    07/01/2022    10    3    
    07/02/2022    10    27    
    07/03/2022    10    6    
    07/04/2022    10    78    
    07/05/2022    10    3    
    07/06/2022    10    3    
    07/07/2022    10    4    
    07/08/2022    10    10    
    07/09/2022    10    2    
    07/10/2022    10    5    
    07/11/2022    10    2    
    07/12/2022    10    4    
    07/13/2022    10    2    
    07/14/2022    10    2    
    07/15/2022    10    6    
    07/16/2022    10    23    
    07/17/2022    10    32    
    07/18/2022    10    79    
    07/19/2022    10    3    
    07/20/2022    10    34    
    07/21/2022    10    27    
    07/22/2022    10    10    
    07/23/2022    10    122    
    07/24/2022    10    16    
    07/25/2022    10    3    
    07/26/2022    10    4    
    07/27/2022    10    5    
    07/28/2022    10    30    
    07/29/2022    10    3    
    07/30/2022    10    2    
    07/31/2022    10    3    
    08/01/2022    10    8    
    08/02/2022    10    28    
    08/03/2022    10    3    
    08/04/2022    10    10    
    08/05/2022    10    20    
    08/06/2022    10    5    
    08/07/2022    10    3    
    08/08/2022    10    34    
    08/09/2022    10    10    
    08/10/2022    10    6    
    08/11/2022    10    3    
    08/12/2022    10    8    
    08/13/2022    10    4    
    08/14/2022    10    3    
    08/15/2022    10    10    
    08/16/2022    10    11    
    08/17/2022    10    159    
    08/18/2022    10    11    
    08/19/2022    10    8    
    08/20/2022    10    26    
    08/21/2022    10    99    
    08/22/2022    10    74    
    08/23/2022    10    15    
    08/24/2022    10    3    
    08/25/2022    10    102    
    08/26/2022    10    89    
    08/27/2022    10    4    
    08/28/2022    10    25    
    08/29/2022    10    6    
    08/30/2022    10    3    
    08/31/2022    10    43    
    09/01/2022    10    25    
    09/02/2022    10    5    
    09/03/2022    10    21    
    09/04/2022    10    4    
    09/05/2022    10    49    
    09/06/2022    10    2    
    09/07/2022    10    3    
    09/08/2022    10    3    
    09/09/2022    10    3    
    09/10/2022    10    2    
    09/11/2022    10    5    
    09/12/2022    10    30    
    09/13/2022    10    30    
    09/14/2022    10    2    
    09/15/2022    10    7    
    09/16/2022    10    129    
    09/17/2022    10    16    
    09/18/2022    10    14    
    09/19/2022    10    25    
    09/20/2022    10    79    
    09/21/2022    10    26    
    09/22/2022    10    4    
    09/23/2022    10    54    
    09/24/2022    10    51    
    09/25/2022    10    38    
    09/26/2022    10    89    
    09/27/2022    10    2    
    09/28/2022    10    76    
    09/29/2022    10    135    
    09/30/2022    10    85        
