       Date   Ip  Remote ASN  Flows 
  07/01/2022  10    701      1
  07/01/2022  10    714      1
  07/01/2022  10    1239    1
  07/01/2022  10    1680    1
  07/01/2022  10    2514    1
  07/01/2022  10    3320    1
  07/01/2022  10    3561    13
  07/01/2022  10    4134    3
  07/01/2022  10    5617    2
  07/01/2022  10    6478    1
  07/01/2022  10    6713    1
  07/01/2022  10    7132    1
  07/01/2022  10    9105    1
  07/01/2022  10    10738  1
  07/01/2022  10    10994  1
  07/01/2022  10    12334  1
  07/01/2022  10    12524  1
  07/01/2022  10    12542  1
  07/01/2022  10    13343  1
  07/01/2022  10    13446  1
  07/01/2022  10    13462  20
  07/01/2022  10    13867  1
  07/01/2022  10    13989  1
  07/01/2022  10    14501  37
  07/01/2022  10    16755  1
  07/01/2022  10    17228  1
  07/01/2022  10    19262  1
  07/01/2022  10    19444  1
  07/01/2022  10    20258  1
  07/01/2022  10    20299  1
  07/01/2022  10    20685  1
  07/01/2022  10    21003  1
  07/01/2022  10    24915  2
  07/01/2022  10    29571  1
  07/01/2022  10    32636  1
  07/01/2022  11    680      1
  07/01/2022  11    1239    6
  07/01/2022  11    2828    2
  07/01/2022  11    3265    519
  07/01/2022  11    4134    9
  07/01/2022  11    4804    1
  07/01/2022  11    4808    3
  07/01/2022  11    6713    7
  07/01/2022  11    6830    1
  07/01/2022  11    8282    21
  07/01/2022  11    9768    1
  07/01/2022  11    11908  5
  07/01/2022  11    12859  52
  07/01/2022  11    14501  3
  07/01/2022  11    14777  4
  07/01/2022  11    14778  2
  07/01/2022  11    15557  1
  07/01/2022  11    19548  1
  07/01/2022  11    24915  1
  07/01/2022  12    1312    218
  07/01/2022  12    3561    8
  07/01/2022  12    3659    1
  07/01/2022  12    4323    8
  07/01/2022  12    5617    3
  07/01/2022  12    5661    6
  07/01/2022  12    7018    933
  07/01/2022  12    7132    3
  07/01/2022  12    7377    198
  07/01/2022  12    14501  62
  07/01/2022  12    19918  50
  07/01/2022  12    29863  4
  07/01/2022  12    33260  8
  07/01/2022  12    33650  174
  07/01/2022  12    36114  1
  07/01/2022  13    1239    1
  07/01/2022  13    2152    1
  07/01/2022  13    4134    1
  07/01/2022  13    4808    7
  07/01/2022  13    11908  6
  07/01/2022  13    14501  2
  07/01/2022  13    15290  1
  07/01/2022  13    17429  1
  07/01/2022  13    24915  2
  07/01/2022  14    1239    5
  07/01/2022  14    1668    1
  07/01/2022  14    3356    21
  07/01/2022  14    3561    10
  07/01/2022  14    4323    1
  07/01/2022  14    8282    21
  07/01/2022  14    11908  1
  07/01/2022  14    14501  34
  07/01/2022  14    14778  6
  07/01/2022  14    24915  1
  07/01/2022  14    31976  83
  07/01/2022  15    2152    3
  07/01/2022  15    3561    3
  07/01/2022  15    4134    1
  07/01/2022  15    4808    7
  07/01/2022  15    8070    6
  07/01/2022  15    8075    4
  07/01/2022  15    11908  6
  07/01/2022  15    13867  2
  07/01/2022  15    14366  8
  07/01/2022  15    14501  1
  07/01/2022  15    15290  2
  07/01/2022  15    24915  1
  07/01/2022  16    1239    2
  07/01/2022  16    4134    14
  07/01/2022  16    4808    8
  07/01/2022  16    4837    6
  07/01/2022  16    10565  11
  07/01/2022  16    11908  13
  07/01/2022  16    12968  1
  07/01/2022  16    14501  2
  07/01/2022  16    15290  4
  07/01/2022  16    17429  1
  07/01/2022  16    19548  1
  07/01/2022  17    109      7
  07/01/2022  17    2152    46
  07/01/2022  17    3356    55
  07/01/2022  17    3491    3
  07/01/2022  17    3561    35
  07/01/2022  17    3582    10
  07/01/2022  17    4513    6
  07/01/2022  17    6432    10
  07/01/2022  17    7805    2
  07/01/2022  17    7859    2
  07/01/2022  17    8070    5
  07/01/2022  17    9156    2
  07/01/2022  17    10565  2
  07/01/2022  17    10763  5
  07/01/2022  17    12222  2
  07/01/2022  17    15169  32
  07/01/2022  17    15290  2
  07/01/2022  17    15830  19
  07/01/2022  17    16759  4
  07/01/2022  17    17210  7
  07/01/2022  17    18924  48
  07/01/2022  17    19306  15
  07/01/2022  17    21844  26
  07/01/2022  17    22277  5
  07/01/2022  17    22822  2
  07/01/2022  17    25969  6
